Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
DAUND,BJP,7,40000000.0,91 Lac+,MAHARASHTRA,Graduate Professional
R K PURAM,AAP,2,800000000.0,11 Crore+,DELHI,12th Pass
DHANPUR,BJP,0,7800000.0,0,TRIPURA,Graduate
RANIA,IND,0,270000000.0,16 Lac+,HARYANA,Graduate
KOTPAD,BJD,0,9400000.0,5 Lac+,ODISHA,12th Pass
KUDAL,SHS,1,200000000.0,89 Lac+,MAHARASHTRA,Graduate
NOWGONG,BJP,0,80000000.0,1 Crore+,ASSAM,Graduate
SAMANA,AAP,1,10000000.0,37 Lac+,PUNJAB,12th Pass
SAROJINI NAGAR,BJP,0,100000000.0,0,UTTAR PRADESH,Doctorate
KHATIMA,INC,0,4900000.0,12 Lac+,UTTARAKHAND,Graduate Professional
DHARWAD,INC,7,190000000.0,1 Crore+,KARNATAKA,12th Pass
HOSHIARPUR,AAP,0,80000000.0,1 Crore+,PUNJAB,12th Pass
SADHAURA (SC),INC,0,20000000.0,21 Lac+,HARYANA,12th Pass
SHAHJAHANPUR,BJP,0,10000000.0,60 Thou+,UTTAR PRADESH,Graduate Professional
PARAMATHIVELUR,AIADMK,0,20000000.0,62 Lac+,TAMIL NADU,Graduate Professional
KANGPOKPI,BJP,0,30000000.0,5 Lac+,MANIPUR,Others
BEHROR,BJP,0,110000000.0,34 Lac+,RAJASTHAN,Graduate Professional
BHOPAL MADHYA,INC,6,70000000.0,53 Lac+,MADHYA PRADESH,Post Graduate
KILVELUR,CPI(M),0,1900000.0,12 Lac+,TAMIL NADU,Graduate Professional
CHHATNA,BJP,0,2700000.0,4 Lac+,WEST BENGAL,Graduate Professional
VEPPANAHALLI,AIADMK,0,120000000.0,42 Lac+,TAMIL NADU,Graduate Professional
JEVARGI,INC,1,650000000.0,37 Crore+,KARNATAKA,Graduate Professional
PATNA,BJD,0,10000000.0,17 Lac+,ODISHA,Graduate
JASHIPUR,BJP,0,0.0,9 Lac+,ODISHA,Others
SINGHESHWAR (SC),RJD,2,0.0,0,BIHAR,12th Pass
GAURA,BJP,0,10000000.0,0,UTTAR PRADESH,Graduate Professional
PONNUR,YSRCP,0,810000000.0,15 Crore+,ANDHRA PRADESH,Graduate
METTUPALAYAM,AIADMK,0,0.0,0,TAMIL NADU,Graduate
LUCKNOW WEST,SP,0,140000000.0,6 Crore+,UTTAR PRADESH,Graduate
NIHAL SINGH WALA (SC),AAP,4,600000.0,20 Lac+,PUNJAB,Graduate
PONNERI (SC),INC,1,6600000.0,0,TAMIL NADU,Graduate Professional
ARABHAVI,BJP,0,350000000.0,17 Lac+,KARNATAKA,10th Pass
BYCULLA,SHS,0,90000000.0,3 Crore+,MAHARASHTRA,Graduate
BASAVANA BAGEVADI,INC,0,0.0,3 Crore+,KARNATAKA,Others
SULLIA (SC),BJP,0,2800000.0,2 Lac+,KARNATAKA,10th Pass
DARBHANGA,BJP,4,0.0,1 Crore+,BIHAR,Post Graduate
TAWANG,BJP,0,1090000000.0,0,ARUNACHAL PRADESH,Graduate
MANAPPARAI,DMK,1,1000000.0,0,TAMIL NADU,10th Pass
DEVSAR (SC),BJP,0,10000000.0,16 Lac+,MADHYA PRADESH,12th Pass
BHATPARA,BJP,12,40000000.0,3 Lac+,WEST BENGAL,Graduate
KULITHALAI,DMK,6,10000000.0,70 Lac+,TAMIL NADU,12th Pass
SITAPUR (ST),BJP,0,1300000.0,17 Lac+,CHHATTISGARH,Graduate
VRIDHACHALAM,INC,5,10000000.0,61 Thou+,TAMIL NADU,10th Pass
VIJAYAWADA EAST,TDP,0,140000000.0,3 Crore+,ANDHRA PRADESH,Post Graduate
PALIN,BJP,0,100000000.0,26 Lac+,ARUNACHAL PRADESH,Graduate
GOALPARA WEST,INC,1,0.0,0,ASSAM,Others
MAL (ST),AITC,0,500000.0,0,WEST BENGAL,8th Pass
BAIKUNTHPUR,BJP,0,20000000.0,6 Lac+,CHHATTISGARH,10th Pass
KADAMTALA-KURTI,CPI(M),2,1800000.0,22 Lac+,TRIPURA,Graduate
SABALAGADH,BJP,1,3800000.0,4 Lac+,MADHYA PRADESH,10th Pass
NAVSARI,BJP,0,10000000.0,17 Lac+,GUJARAT,Others
DANGS (ST),BJP,0,10000000.0,44 Lac+,GUJARAT,10th Pass
HARGAON (SC),BJP,1,0.0,3 Lac+,UTTAR PRADESH,Post Graduate
GHASPANI-II (ST),NDPP,0,90000000.0,0,NAGALAND,Graduate
CHACHOURA,BJP,0,6400000.0,0,MADHYA PRADESH,Graduate Professional
AMBAH (SC),INC,0,3900000.0,2 Lac+,MADHYA PRADESH,12th Pass
DAPOLI,SHS,0,110000000.0,4 Crore+,MAHARASHTRA,Graduate
MERTA (SC),BJP,0,4300000.0,32 Lac+,RAJASTHAN,10th Pass
JOGINDERNAGAR,BJP,0,250000000.0,0,HIMACHAL PRADESH,10th Pass
KURWAI (SC),BJP,0,30000000.0,50 Lac+,MADHYA PRADESH,Graduate
PATTI,SP,6,40000000.0,75 Lac+,UTTAR PRADESH,Post Graduate
KOLLEGAL (SC),INC,0,0.0,48 Lac+,KARNATAKA,Graduate
ARVI,BJP,0,10000000.0,18 Lac+,MAHARASHTRA,Graduate
BHANJANAGAR,BJD,0,30000000.0,14 Lac+,ODISHA,Post Graduate
KODUNGALLUR,CPI,0,20000000.0,1 Lac+,KERALA,Graduate Professional
MAYURESWAR,AITC,0,9100000.0,0,WEST BENGAL,Graduate
VIKASPURI,AAP,0,20000000.0,6 Lac+,DELHI,10th Pass
SUJAPUR,AITC,0,40000000.0,0,WEST BENGAL,Post Graduate
NIMAPARA,BJD,2,20000000.0,7 Lac+,ODISHA,Graduate Professional
SHIMOGA,BJP,1,10000000.0,32 Lac+,KARNATAKA,8th Pass
RAJANAGAR,BJD,1,10000000.0,75 Lac+,ODISHA,Post Graduate
CHAKULIA,AITC,0,2200000.0,12 Lac+,WEST BENGAL,Graduate
KADAYANALLUR,AIADMK,1,30000000.0,2 Lac+,TAMIL NADU,Graduate
PALI,INC,0,0.0,0,RAJASTHAN,Graduate Professional
KHANDELA,BJP,2,1200000.0,0,RAJASTHAN,Graduate Professional
LATUR RURAL,INC,0,350000000.0,1 Crore+,MAHARASHTRA,Post Graduate
ARARIA,INC,2,40000000.0,8 Lac+,BIHAR,10th Pass
GOKAK,BJP,1,490000000.0,43 Crore+,KARNATAKA,12th Pass
RAMNAGAR,AITC,1,7000000.0,0,WEST BENGAL,12th Pass
BELGAUM DAKSHIN,BJP,3,90000000.0,29 Lac+,KARNATAKA,10th Pass
BALLY,AITC,0,20000000.0,1 Crore+,WEST BENGAL,Graduate Professional
BACHHWARA,BJP,0,3600000.0,3 Lac+,BIHAR,12th Pass
KOLAR,INC,1,300000000.0,5 Crore+,KARNATAKA,10th Pass
NARPATGANJ,BJP,3,60000000.0,31 Lac+,BIHAR,Graduate
MASTURI (SC),INC,0,0.0,50 Lac+,CHHATTISGARH,12th Pass
SAHAJANWA,BJP,0,90000000.0,1 Lac+,UTTAR PRADESH,Graduate
SIBSAGAR,IND,52,0.0,30 Lac+,ASSAM,Graduate
AMBATTUR,DMK,1,10000000.0,2 Lac+,TAMIL NADU,Graduate
BADNERA,IND,7,0.0,7 Crore+,MAHARASHTRA,12th Pass
GANGTOK,Sikkim Krantikari Morcha,0,6200000.0,2 Lac+,SIKKIM,Graduate
CHHIBRAMAU,BJP,0,50000000.0,9 Lac+,UTTAR PRADESH,Post Graduate
KATORIA (ST),BJP,0,10000000.0,1 Crore+,BIHAR,Doctorate
RATUA,AITC,0,6500000.0,11 Lac+,WEST BENGAL,12th Pass
PARALAKHEMUNDI,BJP,0,2600000.0,1 Lac+,ODISHA,Post Graduate
LEHRA,AAP,0,20000000.0,0,PUNJAB,Graduate Professional
KAKDWIP,AITC,2,6700000.0,0,WEST BENGAL,10th Pass
SRIVAIKUNTAM,INC,0,690000000.0,3 Crore+,TAMIL NADU,Post Graduate
TUGHLAKABAD,AAP,2,10000000.0,0,DELHI,10th Pass
GOVERDHAN,BJP,0,0.0,0,UTTAR PRADESH,Graduate Professional
COIMBATORE NORTH,AIADMK,0,120000000.0,1 Crore+,TAMIL NADU,10th Pass
ISRANA (SC),INC,0,4000000.0,0,HARYANA,12th Pass
SONKATCH (SC),BJP,4,20000000.0,80 Lac+,MADHYA PRADESH,Doctorate
FATUHA,RJD,4,0.0,0,BIHAR,Doctorate
RAYAGADA,IND,0,15000.0,0,ODISHA,Post Graduate
TILAK NAGAR,AAP,2,20000000.0,46 Lac+,DELHI,12th Pass
DOMKAL,AITC,0,40000000.0,60 Lac+,WEST BENGAL,Post Graduate
KABI LUNGCHUK,Sikkim Krantikari Morcha,0,80000000.0,3 Lac+,SIKKIM,Graduate
MINAKHAN (SC),AITC,0,10000000.0,32 Lac+,WEST BENGAL,8th Pass
RANINAGAR,AITC,2,100000000.0,1 Crore+,WEST BENGAL,12th Pass
KALYANDURG,YSRCP,1,120000000.0,1 Crore+,ANDHRA PRADESH,Post Graduate
MANKHURD SHIVAJINAGAR,SP,12,0.0,9 Crore+,MAHARASHTRA,Graduate
LAURIYA,BJP,6,0.0,9 Hund+,BIHAR,Graduate
TOLLYGANJ,AITC,0,10000000.0,0,WEST BENGAL,Graduate
SANDESHKHALI (ST),AITC,1,1200000.0,0,WEST BENGAL,Post Graduate
AVADI,DMK,29,110000000.0,0,TAMIL NADU,10th Pass
TARAPUR,JD(U),1,0.0,30 Thou+,BIHAR,Doctorate
KISHANGARH,INC,1,10000000.0,37 Lac+,RAJASTHAN,Doctorate
SANGARIA,INC,5,100000.0,0,RAJASTHAN,Post Graduate
NALBARI,BJP,0,40000000.0,17 Lac+,ASSAM,Graduate
RATH (SC),BJP,3,2200000.0,0,UTTAR PRADESH,Post Graduate
SHAHPUR,INC,0,30000000.0,10 Lac+,HIMACHAL PRADESH,Post Graduate
BARAUT,BJP,0,120000000.0,3 Crore+,UTTAR PRADESH,10th Pass
ABDASA,BJP,0,10000000.0,15 Lac+,GUJARAT,Literate
PEHOWA,BJP,0,20000000.0,30 Lac+,HARYANA,Graduate
NEDUMANGAD,CPI,3,10000000.0,11 Lac+,KERALA,Graduate Professional
PIRPAINTI (SC),BJP,0,1600000.0,0,BIHAR,Graduate
ETAH,BJP,0,130000000.0,1 Crore+,UTTAR PRADESH,Graduate
MADURANTAKAM (SC),AIADMK,0,30000000.0,99 Lac+,TAMIL NADU,Post Graduate
SENTHAMANGALAM(ST),DMK,0,7600000.0,46 Thou+,TAMIL NADU,8th Pass
KAITHAL,BJP,0,40000000.0,59 Lac+,HARYANA,Post Graduate
KARKALA,BJP,1,70000000.0,48 Lac+,KARNATAKA,Graduate
URIPOK,BJP,0,20000000.0,0,MANIPUR,Graduate Professional
SHIKOHABAD,SP,0,30000000.0,10 Lac+,UTTAR PRADESH,Post Graduate
OMALUR,AIADMK,1,40000000.0,2 Crore+,TAMIL NADU,Graduate Professional
AAKOLA WEST,BJP,1,50000000.0,1 Crore+,MAHARASHTRA,Graduate
JAMA (ST),JMM,3,40000000.0,0,JHARKHAND,12th Pass
BRAMHAPURI,INC,0,440000000.0,22 Crore+,MAHARASHTRA,10th Pass
UDUMALAIPETTAI,AIADMK,1,0.0,1 Lac+,TAMIL NADU,Graduate
NARI-KOYU,BJP,0,20000000.0,0,ARUNACHAL PRADESH,Graduate Professional
BYATARAYANAPURA,INC,2,160000000.0,95 Lac+,KARNATAKA,Post Graduate
HATTA (SC),BJP,0,30000000.0,5 Lac+,MADHYA PRADESH,12th Pass
UDHAGAMANDALAM,INC,1,20000000.0,15 Lac+,TAMIL NADU,Post Graduate
THAKURGANJ,RJD,0,6300000.0,0,BIHAR,Graduate
BAHRAICH,BJP,0,50000000.0,1 Lac+,UTTAR PRADESH,Post Graduate
DIMANI,BJP,1,20000000.0,24 Lac+,MADHYA PRADESH,Graduate
KAIJ (SC),BJP,0,290000000.0,5 Crore+,MAHARASHTRA,Graduate Professional
DEGANA,BJP,0,120000000.0,2 Lac+,RAJASTHAN,Post Graduate
SHIBPUR,AITC,0,200000000.0,13 Lac+,WEST BENGAL,8th Pass
MANGALORE CITY NORTH,BJP,0,110000000.0,96 Lac+,KARNATAKA,Post Graduate
SHIVPURI,BJP,0,270000000.0,6 Crore+,MADHYA PRADESH,Graduate
MANDVI (ST),BJP,0,10000000.0,27 Lac+,GUJARAT,Graduate Professional
SEVAPURI,BJP,2,10000000.0,0,UTTAR PRADESH,12th Pass
BHATKAL,INC,1,640000000.0,36 Crore+,KARNATAKA,8th Pass
MUKHED,BJP,0,40000000.0,49 Lac+,MAHARASHTRA,Graduate Professional
KOTDWAR,BJP,0,70000000.0,0,UTTARAKHAND,Graduate
TAKHATPUR,BJP,0,20000000.0,0,CHHATTISGARH,Graduate
PALASBARI,BJP,0,500000.0,32 Lac+,ASSAM,Post Graduate
B.H.E.L. RANIPUR,BJP,1,10000000.0,19 Lac+,UTTARAKHAND,12th Pass
PIMPRI (SC),NCP,0,20000000.0,0,MAHARASHTRA,10th Pass
MULTAI,BJP,0,40000000.0,3 Lac+,MADHYA PRADESH,Graduate
KHONSA WEST,NPP,0,100000000.0,0,ARUNACHAL PRADESH,12th Pass
KALOL-GANDHINAGAR,BJP,0,120000000.0,29 Lac+,GUJARAT,8th Pass
SAMAGURI,INC,0,80000000.0,57 Lac+,ASSAM,Graduate
SOMESHWAR (SC),BJP,0,250000000.0,82 Lac+,UTTARAKHAND,Post Graduate
SANGLI,BJP,0,520000000.0,94 Lac+,MAHARASHTRA,Graduate
CUMBARJUA,INC,1,50000000.0,2 Crore+,GOA,12th Pass
SUJANPUR,INC,0,350000000.0,0,PUNJAB,Graduate
ISLAMPUR,RJD,0,20000000.0,15 Lac+,BIHAR,Post Graduate
PRATAPGARH,BJP,2,50000000.0,16 Lac+,UTTAR PRADESH,Graduate
RAJGIR (SC),JD(U),0,10000000.0,0,BIHAR,Graduate Professional
HARRAIYA,BJP,2,130000000.0,70 Lac+,UTTAR PRADESH,Post Graduate
SAFIPUR (SC),BJP,0,190000000.0,5 Crore+,UTTAR PRADESH,Graduate
KURNOOL,YSRCP,0,30000000.0,33 Lac+,ANDHRA PRADESH,Post Graduate
BILASPUR,BJP,0,30000000.0,1 Crore+,UTTAR PRADESH,Post Graduate
NARASIMHARAJA,INC,1,0.0,38 Lac+,KARNATAKA,Graduate Professional
DURGAPUR PASCHIM,BJP,11,10000000.0,0,WEST BENGAL,12th Pass
GARHI (ST),BJP,0,20000000.0,29 Lac+,RAJASTHAN,12th Pass
CUTTACK SADAR,BJD,0,20000000.0,14 Lac+,ODISHA,Graduate Professional
CHINTALAPUDI,YSRCP,0,40000000.0,20 Lac+,ANDHRA PRADESH,Graduate
CHOWRANGEE,AITC,2,70000000.0,1 Lac+,WEST BENGAL,12th Pass
BANIAPUR,RJD,5,20000000.0,20 Lac+,BIHAR,Graduate
JALGAON RURAL,SHS,1,50000000.0,66 Lac+,MAHARASHTRA,12th Pass
LAMBI,AAP,0,20000000.0,20 Lac+,PUNJAB,12th Pass
ALUR,YSRCP,0,8800000.0,0,ANDHRA PRADESH,10th Pass
BISWAN,BJP,3,40000000.0,9 Lac+,UTTAR PRADESH,Graduate
JAMUA (SC),BJP,0,0.0,14 Lac+,JHARKHAND,Graduate
DAVANAGERE NORTH,INC,1,1890000000.0,24 Crore+,KARNATAKA,Graduate
JHAJHA,JD(U),1,0.0,19 Lac+,BIHAR,Post Graduate
PARLI,NCP,9,230000000.0,1 Crore+,MAHARASHTRA,Graduate Professional
KOVILPATTI,AIADMK,2,20000000.0,43 Lac+,TAMIL NADU,12th Pass
PATHARIYA,BJP,1,40000000.0,3 Lac+,MADHYA PRADESH,Post Graduate
JAMUI,BJP,0,40000000.0,0,BIHAR,Post Graduate
FARRUKHABAD,BJP,0,40000000.0,0,UTTAR PRADESH,Graduate Professional
TIPAIMUKH (ST),JD(U),0,500000.0,2 Lac+,MANIPUR,12th Pass
DANTA (ST),INC,0,10000000.0,15 Lac+,GUJARAT,8th Pass
BANGERMAU,BJP,1,10000000.0,9 Lac+,UTTAR PRADESH,Post Graduate
KESHOD,BJP,0,40000000.0,0,GUJARAT,Literate
KHERALU,BJP,0,390000000.0,2 Crore+,GUJARAT,Graduate Professional
MUKTSAR,AAP,0,130000000.0,82 Lac+,PUNJAB,8th Pass
BELGAUM RURAL,INC,3,130000000.0,5 Crore+,KARNATAKA,Post Graduate
SHALIMAR BAGH,AAP,0,0.0,14 Lac+,DELHI,Graduate
MEHEM,IND,1,1410000000.0,8 Crore+,HARYANA,Graduate
TUMKUR CITY,BJP,0,0.0,7 Crore+,KARNATAKA,Graduate Professional
BATHINDA URBAN,AAP,0,130000000.0,32 Lac+,PUNJAB,Graduate Professional
AKBARPUR-RANIYA,BJP,1,40000000.0,2 Lac+,UTTAR PRADESH,Post Graduate
SRI HARGOBINDPUR (SC),AAP,1,0.0,0,PUNJAB,Post Graduate
ORAI (SC),BJP,2,7900000.0,4 Lac+,UTTAR PRADESH,10th Pass
AGRA CANTT. (SC),BJP,1,40000000.0,0,UTTAR PRADESH,Graduate Professional
RAE BARELI,BJP,0,300000000.0,3 Crore+,UTTAR PRADESH,Post Graduate
NARASAPURAM,YSRCP,1,20000000.0,2 Lac+,ANDHRA PRADESH,10th Pass
SARDHANA,SP,38,0.0,0,UTTAR PRADESH,Graduate
RAMNAGAR (SC),BJP,0,6500000.0,0,BIHAR,5th Pass
MULUND,BJP,0,0.0,15 Crore+,MAHARASHTRA,10th Pass
MARHAURA,RJD,5,40000000.0,31 Lac+,BIHAR,Graduate
GURAZALA,YSRCP,6,70000000.0,53 Lac+,ANDHRA PRADESH,Graduate Professional
DEWAS,BJP,0,170000000.0,49 Lac+,MADHYA PRADESH,Graduate
VILLIANUR,DMK,3,200000000.0,10 Crore+,PUDUCHERRY,10th Pass
ULUBERIA DAKSHIN,AITC,0,0.0,43 Lac+,WEST BENGAL,Graduate
KHADUR SAHIB,AAP,5,5700000.0,1 Lac+,PUNJAB,12th Pass
BELAPUR,BJP,1,230000000.0,4 Crore+,MAHARASHTRA,5th Pass
BHOKARDAN,BJP,0,130000000.0,1 Crore+,MAHARASHTRA,Graduate
NELLITHOPE,BJP,0,30000000.0,81 Lac+,PUDUCHERRY,Graduate Professional
BAGHMARA (ST),IND,0,180000000.0,4 Crore+,MEGHALAYA,10th Pass
DIRBA (SC),AAP,1,10000000.0,36 Lac+,PUNJAB,Graduate Professional
BIHPUR,BJP,3,20000000.0,7 Lac+,BIHAR,Graduate Professional
AMLA (SC),BJP,0,60000000.0,2 Crore+,MADHYA PRADESH,Post Graduate
JAMWA RAMGARH (ST),BJP,0,20000000.0,11 Lac+,RAJASTHAN,Post Graduate
KHAGA (SC),BJP,0,20000000.0,45 Lac+,UTTAR PRADESH,10th Pass
ASSANDH,INC,0,120000000.0,1 Crore+,HARYANA,Graduate Professional
JETPUR,BJP,0,330000000.0,18 Crore+,GUJARAT,12th Pass
KHURDA,BJD,1,50000000.0,2 Lac+,ODISHA,Graduate
SAHNEWAL,AAP,1,50000000.0,14 Lac+,PUNJAB,10th Pass
TIRWA,BJP,1,0.0,45 Lac+,UTTAR PRADESH,Graduate Professional
JAGDALPUR,BJP,0,30000000.0,15 Lac+,CHHATTISGARH,Graduate Professional
KRISHNAPUR (ST),BJP,0,5600000.0,8 Lac+,TRIPURA,10th Pass
BARI,BJD,0,800000.0,0,ODISHA,10th Pass
VANUR (SC),AIADMK,0,10000000.0,39 Lac+,TAMIL NADU,Graduate
HINDUPUR,TDP,2,2740000000.0,15 Crore+,ANDHRA PRADESH,Graduate
MORADA,BJD,3,0.0,13 Lac+,ODISHA,Graduate
PRATAPNAGAR,INC,0,20000000.0,3 Crore+,UTTARAKHAND,Post Graduate
KONNI,CPI(M),7,3600000.0,14 Lac+,KERALA,Graduate Professional
NALANDA,JD(U),0,20000000.0,19 Lac+,BIHAR,12th Pass
TIVIM,BJP,0,80000000.0,72 Lac+,GOA,10th Pass
